ID Number,Name,Moves,Held Item,Trainer Class,Battle Type,Number of Pokemon,Item 1,Item 2,Item 3,Item 4,Prioritize Effectiveness,Evaluate Attacks,Expert,Prioritize Status,Risky Attacks,Prioritize Damage,Partner,Double Battle,Prioritize Healing,Utilize Weather,Harassment,Roaming Pokemon,Safari Zone,Catching Demo,Battle Type,Unknown 1,Unknown 2,Unknown 3
0, -,FALSE,FALSE,0,0,0,None,None,None,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
1,Tristan,FALSE,FALSE,2,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
2,Logan,TRUE,FALSE,2,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
3,Natalie,FALSE,FALSE,3,0,1,None,None,None,None,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
4,Michael,FALSE,FALSE,2,0,2,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
5,Mickey,FALSE,FALSE,4,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
6,Mickey,FALSE,FALSE,4,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
7,Angelica,FALSE,FALSE,5,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
8,Angelica,FALSE,FALSE,5,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
9,Mickey,FALSE,FALSE,2,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
10,Tyler,FALSE,FALSE,2,0,1,None,None,None,None,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
11,Samantha,FALSE,FALSE,3,0,1,None,None,None,None,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
12,Sarah,FALSE,FALSE,3,0,1,None,None,None,None,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Single Battle,0,0,0
