560,Flying Press,Fighting,Physical,10,100,95,VI
561,Mat Block,Fighting,Status,10,—,—,VI
562,Belch,Poison,Special,10,120,90,VI
563,Rototiller,Ground,Status,10,—,—,VI
564,Sticky Web,Bug,Status,20,—,—,VI
565,Fell Stinger,Bug,Physical,25,50,100,VI
566,Phantom Force,Ghost,Physical,10,90,100,VI
567,Trick-or-Treat,Ghost,Status,20,—,100,VI
568,Noble Roar,Normal,Status,30,—,100,VI
569,Ion Deluge,Electric,Status,25,—,—,VI
570,Parabolic Charge,Electric,Special,20,65,100,VI
571,Forest's Curse,Grass,Status,20,—,100,VI
572,Petal Blizzard,Grass,Physical,15,90,100,VI
573,Freeze-Dry,Ice,Special,20,70,100,VI
574,Disarming Voice,Fairy,Special,15,40,—,VI
575,Parting Shot,Dark,Status,20,—,100,VI
576,Topsy-Turvy,Dark,Status,20,—,—,VI
577,Draining Kiss,Fairy,Special,10,50,100,VI
578,Crafty Shield,Fairy,Status,10,—,—,VI
579,Flower Shield,Fairy,Status,10,—,—,VI
580,Grassy Terrain,Grass,Status,10,—,—,VI
581,Misty Terrain,Fairy,Status,10,—,—,VI
582,Electrify,Electric,Status,20,—,—,VI
583,Play Rough,Fairy,Physical,10,90,90,VI
584,Fairy Wind,Fairy,Special,30,40,100,VI
585,Moonblast,Fairy,Special,15,95,100,VI
586,Boomburst,Normal,Special,10,140,100,VI
587,Fairy Lock,Fairy,Status,10,—,—,VI
588,King's Shield,Steel,Status,10,—,—,VI
589,Play Nice,Normal,Status,20,—,—,VI
590,Confide,Normal,Status,20,—,—,VI
591,Diamond Storm,Rock,Physical,5,100,95,VI
592,Steam Eruption,Water,Special,5,110,95,VI
593,Hyperspace Hole,Psychic,Special,5,80,—,VI
594,Water Shuriken,Water,Special,20,15,100,VI
595,Mystical Fire,Fire,Special,10,75,100,VI
596,Spiky Shield,Grass,Status,10,—,—,VI
597,Aromatic Mist,Fairy,Status,20,—,—,VI
598,Eerie Impulse,Electric,Status,15,—,100,VI
599,Venom Drench,Poison,Status,20,—,100,VI
600,Powder,Bug,Status,20,—,100,VI
601,Geomancy,Fairy,Status,10,—,—,VI
602,Magnetic Flux,Electric,Status,20,—,—,VI
603,Happy Hour,Normal,Status,30,—,—,VI
604,Electric Terrain,Electric,Status,10,—,—,VI
605,Dazzling Gleam,Fairy,Special,10,80,100,VI
606,Celebrate,Normal,Status,40,—,—,VI
607,Hold Hands,Normal,Status,40,—,—,VI
608,Baby-Doll Eyes,Fairy,Status,30,—,100,VI
609,Nuzzle,Electric,Physical,20,20,100,VI
610,Hold Back,Normal,Physical,40,40,100,VI
611,Infestation,Bug,Special,20,20,100,VI
612,Power-Up Punch,Fighting,Physical,20,40,100,VI
613,Oblivion Wing,Flying,Special,10,80,100,VI
614,Thousand Arrows,Ground,Physical,10,90,100,VI
615,Thousand Waves,Ground,Physical,10,90,100,VI
616,Land's Wrath,Ground,Physical,10,90,100,VI
617,Light of Ruin,Fairy,Special,5,140,90,VI
618,Origin Pulse,Water,Special,10,110,85,VI
619,Precipice Blades,Ground,Physical,10,120,85,VI
620,Dragon Ascent,Flying,Physical,5,120,100,VI
621,Hyperspace Fury,Dark,Physical,5,100,—,VI
622,Breakneck Blitz,Normal,Physical,1,—,—,VII
623,Breakneck Blitz,Normal,Special,1,—,—,VII
624,All-Out Pummeling,Fighting,Physical,1,—,—,VII
